norm_x_L,norm_y_L,norm_x_R,norm_y_R,target_x,target_y
0.4863943972015068,-0.00320965954682664,0.5022039377020276,-0.11923771341484345,540,630
0.4712607486788562,-0.004269086038117794,0.5025656356191961,-0.13882582938578178,540,630
0.4874015380595065,-0.040487823168177055,0.5040168034062189,-0.14371456388522993,540,630
0.4869429384651294,0.017724531837238156,0.4604692512688201,-0.08484830089029441,945,630
0.49492874798417846,0.08921935880399295,0.47053424138749994,-0.03980229560819026,945,630
0.46759069832404737,0.07165770428799455,0.4712205637304603,-0.06671357857838292,945,630
0.47131023474695216,0.10587224738403873,0.49614911753750224,-0.03640511262266842,945,630
0.48271693228303686,0.12424096255947509,0.47960565398189886,-0.03458855949658376,945,630
0.48130162356890793,0.10988009976591238,0.4723938270180107,-0.028357380892019297,945,630
0.4746809877583568,0.09750431736665105,0.4681830554980891,-0.0022444583036678495,945,630
0.4764248604490938,0.12424825019328266,0.48115045562166364,-0.05829044036777969,945,630
0.4685283203827374,0.11414005921763713,0.47693614671494866,-0.04255776746137908,945,630
0.46460863886230763,0.13718665430766128,0.47170150391242405,-0.02636103046155322,945,630
